id,competition_name,team_name,points,time_taken
145,CodeCombat Challenge,Imperial Stormtroopers,95,1:47
146,CodeMaster Challenge,Rebel Revolutionaries,30,1:17
147,Imagine Cup,Galactic Bounty Hunters,92,1:18
148,Imagine Cup,DarkSide Destroyers,85,1:42
149,Imagine Cup,LightSide Liberators,43,1:07
150,Imagine Cup,StarWars Strikers,69,1:02
151,Imagine Cup,Millennium FalconFury,67,1:01
152,Imagine Cup,Sith Assassins,98,1:12
153,CyberYouth Championship,Wookiee Warlords,55,1:16
154,CyberYouth Championship,Imperial Infiltrators,48,1:38
155,CyberYouth Championship,Rebel Alliance Assault,7,0:37
156,CyberYouth Championship,Droid Destruction Squad,52,1:52
157,CyberYouth Championship,Force Awakened Defenders,60,1:14
158,CyberYouth Championship,Lightsaber Wielders,96,1:44
159,Code Olympiad,Clone Trooper Corps,5,1:33
160,Code Olympiad,Resistance Rangers,4,1:15
161,Code Olympiad,Mandalorian Marauders,62,1:54
162,Code Olympiad,Ewok Eliminators,92,1:53
163,Code Olympiad,Sith ShadowLords,24,1:08
164,Code Olympiad,Jedi Protectors,21,1:04
165,Startup Summit,Imperial Elite Force,99,1:03
166,Startup Summit,Rebel Resistance Raiders,19,0:57
167,Startup Summit,Galactic Guard Force,19,1:41
168,Startup Summit,DarkSide Dominators,50,1:19
169,Startup Summit,LightSide Liberation Army,75,0:53
170,Startup Summit,StarWars Sentinels,51,0:47
171,PythonBattle,Lightning Boltz,79,0:47
172,PythonBattle,Raging Racketeers,45,1:53
173,PythonBattle,Blaze Blasters,29,1:53
174,PythonBattle,Titans Tornadoes,21,0:54
175,PythonBattle,Viper Victors,50,0:54
176,PythonBattle,Avalanche Avengers,55,1:58
177,Youth Pitch Cycle,Storming Striders,99,0:50
178,Youth Pitch Cycle,Blitzkrieg Blitzers,15,1:24
179,Youth Pitch Cycle,Rampage Racers,74,1:07
180,Youth Pitch Cycle,Cyclone Crushers,20,0:50
181,Youth Pitch Cycle,Thundering Tigers,54,1:45
182,Youth Pitch Cycle,RedDevils Raiders,33,1:45
183,RoboRAVE,Swift Strikers,24,0:50
184,RoboRAVE,Razorbacks United,30,1:00
185,RoboRAVE,Avalanche Achievers,50,1:30
186,RoboRAVE,Storming Stars,97,0:35
187,RoboRAVE,Blitzkrieg Bombers,96,1:16
188,RoboRAVE,Rampage Runners,52,1:14
189,Techno Schematics,Cyclone Cyclones,86,0:42
190,Techno Schematics,Program Panthers,95,0:32
191,Techno Schematics,Bigtax,100,0:49
192,Techno Schematics,Wrapsafe,3,0:32
193,Techno Schematics,Andalax,4,0:56
194,Techno Schematics,Zoolab,64,1:34
195,Java Cup,Mat Lam Tam,24,0:56
196,Java Cup,Zathin,13,0:53
197,Java Cup,Ventosanzap,34,1:23
198,Java Cup,Voltsillam,34,1:28
199,Java Cup,Greenlam,37,1:11
200,Java Cup,Asoka,15,0:39
201,Next Founders,Duobam,8,1:06
202,Next Founders,Kanlam,40,0:41
203,Next Founders,Alphazap,5,1:39
204,Next Founders,Solarbreeze,45,1:04
205,Next Founders,Konklux,57,1:59
206,Next Founders,Y-Solowarm,54,1:11
207,Amazon Startup Competition,Aerified,82,1:54
208,Amazon Startup Competition,Stronghold,90,0:46
209,Amazon Startup Competition,Domainer,20,1:55
210,Amazon Startup Competition,Tinpan Team,74,0:44
211,Amazon Startup Competition,Matsoft,53,0:41
212,Amazon Startup Competition,Ronstring,57,0:32
213,Tech Youth Summit,Bytecard,32,1:48
214,Tech Youth Summit,Stimulators,30,1:46
215,Tech Youth Summit,Transcof,34,0:56
216,Tech Youth Summit,Home Stretch,90,1:00
217,Tech Youth Summit,Prodder,53,1:55
218,Tech Youth Summit,Sub-Extreme,44,1:34
219,TechRush ,Sonsingers,60,0:31
220,TechRush ,Otcom,11,1:50
221,TechRush ,Gembuckets,10,1:28
222,TechRush ,Petal Pioneers,23,0:56
223,TechRush ,Blooming Beauties,37,1:45
224,TechRush ,Floral Force,21,1:06
225,Web Summit,Blossom Brigade,44,2:00
226,Web Summit,Lily League,87,1:33
227,Web Summit,Rose Rangers,90,1:19
228,Web Summit,Daisy Dazzlers,82,1:15
229,Web Summit,Orchid Octane,91,1:11
230,Web Summit,Sunflower Squad,33,1:49
231,Python Masters,Tulip Titans,96,0:41
232,Python Masters,Violet Victory,53,1:31
233,Python Masters,Marigold Mavericks,83,1:43
234,Python Masters,Camellia Crushers,26,1:38
235,Python Masters,Azalea Avengers,25,1:04
236,Python Masters,Iris Impact,33,1:30
237,Hack Master,Daffodil Dynamos,29,0:57
238,Hack Master,Peony Powerhouse,95,1:28
239,Hack Master,Hyacinth Hurricanes,92,1:07
240,Hack Master,Zinnia Zenith,87,0:56
241,Robotics Jam,Poppy Punchers,42,1:13
242,Robotics Jam,Blue Stompers,64,0:37
243,Robotics Jam,Dynamic Duos,55,1:21
244,Robotics Jam,Brilliant Stars,73,1:09
245,Robotics Jam,Geniuses,84,1:02
246,Robotics Jam,LawnMopers,6,1:05
247,TechCrunch,Ape Handlers,43,0:43
248,TechCrunch,Space Monkeys,51,1:38
249,TechCrunch,Dynamites,12,1:56
250,TechCrunch,Buzzers,25,0:31
251,TechCrunch,People Pleasers,70,1:10
252,TechCrunch,Rookies,26,0:49
